n	randwalk0	randwalk1
16	0.777	3.212
32	0.778	3.211
64	0.777	3.210
128	0.777	3.210
256	0.777	3.210
512	0.777	3.208
1024	0.777	3.204
2048	0.777	3.197
4096	0.777	3.177
8192	0.777	3.165
16384	0.775	3.159
32768	0.775	2.934
